
Notes [1]:
"Notes"

"Annual figures are calculated as entries plus exits, weighting weekdays by 253, Saturdays by 52 and Sundays by 59."
"This weighting is based on the assumption that 7 Bank-holidays are represented by 7 Sundays"
"and grossing up to a 364 day year excluding Christmas Day. "
"This adjustment does not change from year to year depending on when the Bank Holidays are "
"but is used as an annual factor for comparing one year with another"

"The data is from files En11WEEK.xls etc."

"Columns D to I are counts for one typical day for the whole traffic day."
"Column J is the annual total in millions."

"Total exits for the system should equal total entries."
"They do not because of inaccuracies in the counts and because counts take place on different days:"
"also some counts include NR passengers."


"Transport Planning - Strategy & Commercial"

"March-2012"

2011 Entry & Exit [2]:
"COUNTS - 2011 - annual entries & exits"
"(C) Copyright, London Underground Limited, 2012"

,,"[ Weights",253,52,59,253,52,59,"]",,
"Counts by station",,,,,,,,,"Annual"
" ",,,"Entry","Entry","Entry","Exit","Exit","Exit","Entry + Exit"
"nlc","Station","Note","Weekday","Saturday","Sunday","Weekday","Saturday","Sunday","million",,
719,"Stratford                          "," ",70198,81848,51574,66657,75104,46485,48.57
720,"Sudbury Hill                       "," ",3321,2025,1276,3218,1891,1238,2.01
721,"Sudbury Town                       "," ",3502,2454,1695,3024,1882,1345,2.06
723,"Swiss Cottage                      "," ",11414,7398,5241,10569,6840,5002,6.91
724,"Temple                             "," ",17689,4992,2920,18528,4769,2527,9.99
725,"Theydon Bois                       "," ",1218,866,461,1157,794,431,0.74
726,"Tooting Bec                        "," ",10932,7867,5007,9730,6564,4866,6.56
727,"Tooting Broadway                   "," ",20538,15317,9879,20360,14104,9828,13.04
728,"Tottenham Court Road               "," ",37528,28025,17552,37469,28285,17841,23.99
729,"Tottenham Hale                     "," ",14047,9738,6240,14254,9166,5888,8.86
730,"Totteridge & Whetstone             "," ",3372,1970,1139,3162,1742,1089,1.98
731,"Tower Hill                         "," ",32338,26387,19603,33145,26135,19076,21.58
733,"Tufnell Park                       "," ",5910,4642,3203,5051,3498,2706,3.55
734,"Turnham Green                      "," ",9275,6373,3979,9372,6082,3971,5.83
735,"Turnpike Lane                      "," ",14983,12274,8572,14925,11243,8564,9.80
736,"Upminster                          ","A",7316,4622,2006,7953,4177,1985,4.56
737,"Upminster Bridge                   "," ",1805,603,256,1758,501,247,0.99
738,"Upney                              "," ",3682,2012,1245,3312,1833,1107,2.11
739,"Upton Park                         "," ",17232,13875,8902,16542,13877,8499,11.01
740,"Uxbridge                           "," ",11378,6841,3769,11390,6432,4036,6.91
777,"Vauxhall                           "," ",34633,23396,16638,31228,20598,15924,20.87
741,"Victoria                           "," ",124079,96667,71688,127195,99471,71940,82.25
742,"Walthamstow Central                "," ",22851,16370,10935,21976,15689,11240,14.32
743,"Wanstead                           "," ",4070,3041,1883,4013,2819,1869,2.57
745,"Warren Street                      "," ",27238,10356,7029,27558,9831,6163,15.69
746,"Warwick Avenue                     "," ",7094,5123,3430,6323,4556,3462,4.30
747,"Waterloo                           ","T",134576,85230,51253,138966,83684,52700,84.12
748,"Watford                            "," ",2696,1207,744,2685,1181,723,1.57
751,"Wembley Central                    "," ",7067,5654,4177,6774,5434,4034,4.56
752,"Wembley Park                       "," ",15153,10754,8747,14742,10377,8196,9.66
753,"West Acton                         "," ",2640,1897,1185,2483,1660,1129,1.62
755,"West Brompton                      "," ",6478,5079,3226,6836,4728,2996,4.25
756,"West Finchley                      "," ",2421,1317,770,2163,1085,757,1.37
757,"West Ham                           "," ",5281,4778,3154,4864,4494,3114,3.42
758,"West Hampstead                     "," ",14057,10187,6366,11903,8166,5712,8.23
759,"West Harrow                        "," ",1790,987,554,1773,1058,586,1.08
760,"West Kensington                    "," ",8121,5660,3799,6536,4303,3160,4.64
762,"West Ruislip                       "," ",2613,2233,1305,2428,1944,1207,1.64
